Species,Ref,Median.Latitude,Median.Longitude,Capture.Year,Julian.Median,Julian.Range,N.sample,Length.mm.TL,p.Water,p.Protein,p.Lipid,p.Ash,EnergyDensity.kJ/g,L_calc,EDtype
Ammodytes marinus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,33,5,,89.5,79.21082621,,,2.62,4.4,0,paper
Ammodytes marinus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,122,90,,74.5,78.64102564,,,2.62,4.6,0,paper
Ammodytes marinus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,306,90,3,64.5,77.21652422,,,2.62,5.1,0,paper
Ammodytes marinus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,122,90,,109.5,76.36182336,,,2.62,5.4,0,paper
Ammodytes marinus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,80,109.5,75.79202279,,,2.62,5.6,0,paper
Ammodytes marinus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,122,90,,134.5,75.22222222,,,2.62,5.8,0,paper
Ammodytes marinus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,122,90,,174.5,74.36752137,,,2.62,6.1,0,paper
Ammodytes marinus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,80,134.5,74.08262108,,,2.62,6.2,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,51.58,,,,,2.667,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,65.364,,,,,2.941,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,71.654,,,,,3.117,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,43.216,,,,,3.192,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,61.88,,,,,3.252,0,paper
