SpecCode	Species	Weight
82365	Pterodroma brevipes	136
73762	Pterodroma cahow	246
84241	Pterodroma caribbaea	0
77002	Pterodroma cervicalis	540
77003	Pterodroma cookii	200
82366	Pterodroma defilippiana	0
73766	Pterodroma externa	430
82367	Pterodroma feae	0
73761	Pterodroma hasitata	278
84248	Pterodroma heraldica	320
73769	Pterodroma hypoleuca	240
73776	Pterodroma incerta	520
73763	Pterodroma inexpectata	323
73777	Pterodroma lessonii	732
73778	Pterodroma leucoptera	220
73772	Pterodroma longirostris	170
73779	Pterodroma macroptera	576.299987792969
82368	Pterodroma madeira	311.5
82369	Pterodroma magentae	510
73780	Pterodroma mollis	291.299987792969
73765	Pterodroma neglecta	590
73770	Pterodroma nigripennis	200
73768	Pterodroma phaeopygia	410
82370	Pterodroma pycrofti	200
82371	Pterodroma sandwichensis	450
73771	Pterodroma solandri	430
73782	Pterodroma ultima	360
71166	Pusa caspica	86000
71165	Pusa hispida	110000
71167	Pusa sibirica	90000
74294	Ptychoramphus aleuticus	188
73757	Puffinus assimilis	238.399993896484
73756	Puffinus auricularis	400
73752	Puffinus bulleri	410
73749	Puffinus carneipes	750
73748	Puffinus creatopus	720
81938	Puffinus gavia	420
73750	Puffinus gravis	950
73753	Puffinus griseus	869
73759	Puffinus heinrothi	0
81939	Puffinus huttoni	370
73758	Puffinus lherminieri	230
84278	Puffinus mauretanicus	501.660003662109
73760	Puffinus nativitatis	340
84280	Puffinus newelli	390
77004	Puffinus opisthomelas	410
73751	Puffinus pacificus	570
73755	Puffinus puffinus	580
73754	Puffinus tenuirostris	543
81941	Puffinus yelkouan	420
73696	Pygoscelis adeliae	4470
73697	Pygoscelis antarcticus	4354.2998046875
73698	Pygoscelis papua	6121.39990234375
26925	Ranina ranina	900
75096	Rhodostethia rosea	187
41731	Riftia pachyptila	650
75077	Rissa brevirostris	382
74521	Rissa tridactyla	407
83566	Scylla paramamosain	2
21355	Scylla serrata	3000
83567	Scylla tranquebarica	2000
57882	Sepia aculeata	1300
57848	Sepia andreana	200000
57251	Sepia apama	10500
57473	Sepia elegans	60
57147	Sepia esculenta	600
57450	Sepia hierredda	7500
57150	Sepia kobiensis	80
57385	Sepia latimanus	10
57714	Sepia longipes	1000
57932	Sepia lorigera	1000
57257	Sepia lycidas	5000
57589	Sepia madokai	100
57474	Sepia officinalis	4000
57301	Sepia pharaonis	5000
57930	Sepia prashadi	700
57851	Sepia recurvirostra	0.400000005960464
57554	Sepiella japonica	0.800000011920929
57383	Sepioteuthis australis	1000
57302	Sepioteuthis lessoniana	1.79999995231628
13387	Solenocera melantho	15.6
73608	Somateria fischeri	1368
73606	Somateria mollissima	2066.5
73607	Somateria spectabilis	1617.5
69375	Sotalia fluviatilis	40000
69373	Sousa chinensis	284000
69374	Sousa teuszii	284000
73708	Spheniscus demersus	3100
73709	Spheniscus humboldti	4500
73710	Spheniscus magellanicus	4100
73711	Spheniscus mendiculus	2500
69372	Steno bredanensis	150000
69378	Stenella attenuata	120000
69380	Stenella clymene	85000
69379	Stenella coeruleoalba	156000
69720	Stenella frontalis	143000
69377	Stenella longirostris	77000
84037	Stercorarius antarcticus	1854.09997558594
84038	Stercorarius chilensis	1350
75054	Stercorarius longicaudus	297
83701	Stercorarius maccormicki	1260
75053	Stercorarius parasiticus	465
84040	Stercorarius pomarinus	694
84041	Stercorarius skua	1418
75103	Sterna acuticauda	0
75104	Sterna aurantia	0
75107	Sterna bergii	400
82657	Sterna bernsteini	0
74527	Sterna dougallii	110
74524	Sterna forsteri	190
75109	Sterna hirundinacea	190
74525	Sterna hirundo	120
74145	Sterna lorata	0
74526	Sterna paradisaea	110
74148	Sterna repressa	142
84325	Sterna sandvicensis	300
74150	Sterna striata	0
74151	Sterna sumatrana	110
74523	Sterna trudeaui	160
74153	Sterna virgata	125
74890	Sterna vittata	143.100006103516
75102	Sternula albifrons	60
74893	Sternula antillarum	57
75105	Sternula balaenarum	46
74147	Sternula nereis	57
74149	Sternula saundersi	50
74152	Sternula superciliaris	57
57569	Sthenoteuthis oualaniensis	8500
83494	Stichopus chloronotus	1500
83495	Stichopus horrens	500
83496	Stichopus variegatus	2500
73589	Sula dactylatra	2100
84343	Sula granti	1750
73591	Sula leucogaster	1800
73590	Sula nebouxii	1800
73554	Sula sula	1500
73556	Sula variegata	1300
74581	Synthliboramphus antiquus	206
84254	Synthliboramphus craveri	150
84255	Synthliboramphus hypoleucus	170
74582	Synthliboramphus wumizusume	295.799987792969
76221	Tachyeres brachypterus	3450
76220	Tachyeres leucocephalus	3013
73808	Tachyeres patachonicus	2346
73809	Tachyeres pteneres	4228
57331	Taningia danae	64400
83052	Thalassarche bulleri	2700
84355	Thalassarche carteri	2520
76565	Thalassarche cauta	4000
76566	Thalassarche chlororhynchos	2060
83053	Thalassarche chrysostoma	3552.60009765625
84359	Thalassarche eremita	0
84360	Thalassarche impavida	3100
76567	Thalassarche melanophris	3755.30004882813
84362	Thalassarche salvini	4000
75106	Thalasseus bengalensis	240
74895	Thalasseus elegans	260
84326	Thalasseus eurygnatha	300
74892	Thalasseus maximus	500
73470	Thalassoica antarctica	695
83497	Thelenota ananas	7000
83499	Thelenota anax	6000
58136	Thysanoteuthis rhombus	30000
58009	Todarodes pacificus	500
57559	Todarodes sagittatus	2200
69581	Trichechus inunguis	450000
69579	Trichechus manatus	1590000
69580	Trichechus senegalensis	750000
14909	Trachysalambria malaiana	7
83869	Tridacna gigas	500000
70935	Tursiops aduncus	230000
69376	Tursiops truncatus	650000
74910	Uria aalge	992.5
74911	Uria lomvia	964
57290	Uroteuthis duvaucelii	1500
57373	Uroteuthis singhalensis	1000
69192	Ursus maritimus	800000
75098	Xema sabini	998
69419	Zalophus californianus	390000
71164	Zalophus wollebaeki	200000
68887	Ziphius cavirostris	3000000
