SpecCode	Species	Weight
1934	Clarias gariepinus	60000
4805	Clarias macrocephalus	45000
2089	Clarias ngamensis	4000
5463	Clarotes laticeps	10000
8838	Clidoderma asperrimum	4400
25702	Cocotropus roseus	5.25
235	Coregonus artedi	3350
24	Clupea harengus	1050
1471	Clupeonella engrauliformis	26
1472	Clupeonella grimmi	23
66219	Clupisoma yunnanense	364.70001220703125
2415	Clypeobarbus hypsolepis	3
12092	Cnidoglanis macrocephalus	2500
60783	Cobitis bilseli	68
27983	Cobitis choii	2.6600000858306885
66378	Cobitis faridpaki	6.300000190734863
66458	Cobitis keyvani	6.199999809265137
56128	Cobitis simplicispina	15.100000381469727
58646	Cobitis splendens	6
60788	Cobitis tetralineata	11.380000114440918
626	Coilia grayii	127.31999969482422
12955	Colistium guentheri	1800
12958	Colistium nudipinnis	1500
23635	Collichthys lucidus	77.0999984741211
23476	Collichthys niveatus	14.5
303	Cololabis saira	180
263	Colossoma macropomum	40000
301	Conger conger	110000
300	Conger oceanicus	40000
13131	Conger verreauxi	5000
401	Conodon nobilis	411.20001220703125
3517	Cookeolus japonicus	4950
10741	Copella arnoldi	0.328000009059906
2486	Coptodon dageti	1000
1397	Coptodon rendalli	2500
1390	Coptodon zillii	300
231	Coregonus albula	1000
234	Coregonus clupeaformis	19000
232	Coregonus lavaretus	10000
48236	Coregonus maraena	10000
12547	Coregonus muksun	13800
2674	Coregonus nasus	16000
233	Coregonus oxyrinchus	2000
4687	Coregonus peled	5000
4646	Coregonus pollan	450
2677	Coregonus reighardi	539
2678	Coregonus sardinella	555
12548	Coregonus ussuriensis	2100
48137	Coregonus widegreni	2000
55907	Coreius heterodon	2250
68193	Coreoleuciscus aeruginos	20.149999618530273
7827	Coris flavovittata	4620
67595	Corydoras lacrimostigmata	1.5800000429153442
10926	Corydoras paleatus	11.199999809265137
12154	Corydoras splendens	40
6	Coryphaena hippurus	40000
8467	Coryphaenoides acrolepis	3000
8473	Coryphaenoides cinereus	550
8474	Coryphaenoides longifilis	2600
332	Coryphaenoides rupestris	1690
27255	Cosmochilus cardinalis	2000
66100	Cottoperca trigloides	1269
15623	Cottunculus thomsonii	1360
63507	Cottunculus tubulosus	3.700000047683716
63081	Cottus dzungaricus	25.5
62351	Cottus hispaniolensis	12
23931	Cottus nozawae	76.80000305175781
49384	Cottus petiti	4
23051	Cottus spinulosus	12.600000381469727
47276	Cranoglanis bouderius	2200
58440	Creagrutus cracentis	2.440000057220459
51285	Creagrutus magdalenae	4
51887	Creagrutus melasma	2.5
46824	Crenicichla celidochilus	162
12329	Crenicichla geayi	99.30000305175781
46858	Crenicichla igara	298
52202	Crenicichla iguassuensis	767
56544	Crenicichla inpa	126.9000015258789
46870	Crenicichla jurubi	285.5
46875	Crenicichla lacustris	427.79998779296875
46877	Crenicichla lugubris	440
56540	Crenicichla menezesi	152.6999969482422
46881	Crenicichla minuano	204
46885	Crenicichla missioneira	273
25779	Crenicichla reticulata	612.20001220703125
52193	Crenicichla strigata	583.9000244140625
46915	Crenicichla tendybaguassu	80
46924	Crenicichla vittata	430
5659	Crenimugil seheli	8000
57689	Crossocheilus atrilimes	32.70000076293945
24457	Crossocheilus burmanicus	50
24459	Crossocheilus diplochilus	119.19999694824219
59544	Crossorhombus kanekonis	31
6014	Ctenochaetus marginatus	410.75
1262	Ctenochaetus striatus	437
60225	Ctenogobius szechuanensis	9.600000381469727
12407	Ctenolucius hujeta	119.19999694824219
79	Ctenopharyngodon idella	45000
2496	Ctenopoma kingsleyae	125
1168	Ctenosciaena gracilicirrhus	77.19999694824219
60408	Ctenotrypauchen chinensis	33.099998474121094
56095	Cynoglossus oligolepis	179.5399932861328
8028	Cubiceps whiteleggii	110
46708	Culter alburnus	600
54724	Culter oxycephaloides	455.5
56031	Culter recurviceps	2047
67596	Curculionichthys oliveirai	0.6700000166893005
51305	Curimata acutirostris	122.79000091552734
51311	Curimata macrops	205
51262	Curimata mivartii	598.29998779296875
51260	Curimata roseni	209.6999969482422
13251	Curimata vittata	231.63999938964844
51319	Curimatella alburnus	220.3300018310547
51877	Curimatella dorsalis	37
51878	Curimatella immaculata	90
51321	Curimatella meyeri	171.89999389648437
