Event.ID,Species.ID.reported,gbif.binomial,class,family,Movement.type,Movement.measure,Value,Units,Statistic,Movement.mode,Body.mass,Body.mass.units,Study.type,MetaRef,Reference,Body.mass.source,Movement Mode Ref
301,Spermophilus tridecemlineatus,Spermophilus tridecemlineatus,Mammalia,Sciuridae,Dispersal,Distance,670.56,m,Maximum,Running,131.67,g,Metastudy,Whitmee & Orme. 2013,McCarley. 1966,Wilman et al 2014,Inferred from Class:  Mammalia
304,Odocoileus hemionus,Odocoileus hemionus,Mammalia,Cervidae,Dispersal,Distance,7300,m,Maximum,Running,54212.57,g,Metastudy,Whitmee & Orme. 2013,McCoy et al. 2005,Wilman et al 2014,Inferred from Class:  Mammalia
305,Odocoileus hemionus,Odocoileus hemionus,Mammalia,Cervidae,Dispersal,Distance,14900,m,Maximum,Running,54212.57,g,Metastudy,Whitmee & Orme. 2013,McCoy et al. 2005,Wilman et al 2014,Inferred from Class:  Mammalia
308,Microtus ochrogaster,Microtus ochrogaster,Mammalia,Cricetidae,Dispersal,Distance,127,m,Maximum,Running,38.01,g,Metastudy,Whitmee & Orme. 2013,McGuire et al. 1993,Wilman et al 2014,Inferred from Class:  Mammalia
309,Microtus ochrogaster,Microtus ochrogaster,Mammalia,Cricetidae,Dispersal,Distance,136,m,Maximum,Running,38.01,g,Metastudy,Whitmee & Orme. 2013,McGuire et al. 1993,Wilman et al 2014,Inferred from Class:  Mammalia
314,Lycaon pictus,Lycaon pictus,Mammalia,Canidae,Dispersal,Distance,65300,m,Maximum,Running,22050.07,g,Metastudy,Whitmee & Orme. 2013,McNutt. 1996,Wilman et al 2014,Inferred from Class:  Mammalia
315,Lycaon pictus,Lycaon pictus,Mammalia,Canidae,Dispersal,Distance,169000,m,Maximum,Running,22050.07,g,Metastudy,Whitmee & Orme. 2013,McNutt. 1996,Wilman et al 2014,Inferred from Class:  Mammalia
321,Taxidea taxus,Taxidea taxus,Mammalia,Mustelidae,Dispersal,Distance,52000,m,Maximum,Running,7107.55,g,Metastudy,Whitmee & Orme. 2013,Messick & Hornocket. 1981,Wilman et al 2014,Inferred from Class:  Mammalia
322,Taxidea taxus,Taxidea taxus,Mammalia,Mustelidae,Dispersal,Distance,110000,m,Maximum,Running,7107.55,g,Metastudy,Whitmee & Orme. 2013,Messick & Hornocket. 1981,Wilman et al 2014,Inferred from Class:  Mammalia
327,Spermophilus richardsonii,Spermophilus richardsonii,Mammalia,Sciuridae,Dispersal,Distance,525,m,Maximum,Running,406,g,Metastudy,Whitmee & Orme. 2013,Michner & Michener. 1977,Wilman et al 2014,Inferred from Class:  Mammalia
