db,original,gbif.binomial,gbif.key,rank,status,matchType,phylum,class,family,genus,species
dispdb,Peromyscus polionotus leucocephalus,Peromyscus polionotus leucocephalus,NA,SUBSPECIES,SYNONYM,NA,Chordata,Mammalia,Cricetidae,Peromyscus,Peromyscus polionotus
dispdb,Peromyscus polionotus niveiventris,Peromyscus polionotus niveiventris,NA,SUBSPECIES,SYNONYM,NA,Chordata,Mammalia,Cricetidae,Peromyscus,Peromyscus polionotus
dispdb,Aotus azarai,Aotus azarai,NA,SPECIES,SYNONYM,NA,Chordata,Mammalia,Aotidae,Aotus,Aotus azarae
dispdb,Ensatina eschscholtzii platensis,Ensatina eschscholtzii platensis,NA,SUBSPECIES,SYNONYM,NA,Chordata,Amphibia,Plethodontidae,Ensatina,Ensatina eschscholtzii
dispdb,Salamandra atra aurorae,Salamandra atra aurorae,NA,SUBSPECIES,SYNONYM,NA,Chordata,Amphibia,Salamandridae,Salamandra,Salamandra atra
dispdb,Triturus alpestris,Triturus alpestris,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Salamandridae,Ichthyosaura,Ichthyosaura alpestris
dispdb,Triturus vulgaris,Triturus vulgaris,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Salamandridae,Lissotriton,Lissotriton vulgaris
dispdb,Bufo americanus,Bufo americanus,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Bufonidae,Anaxyrus,Anaxyrus americanus
dispdb,Bufo baxteri,Bufo baxteri,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Bufonidae,Anaxyrus,Anaxyrus baxteri
dispdb,Bufo boreas,Bufo boreas,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Bufonidae,Anaxyrus,Anaxyrus boreas
dispdb,Bufo calamita,Bufo calamita,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Bufonidae,Epidalea,Epidalea calamita
dispdb,Bufo fowleri,Bufo fowleri,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Bufonidae,Anaxyrus,Anaxyrus fowleri
dispdb,Bufo hemiophrys,Bufo hemiophrys,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Bufonidae,Anaxyrus,Anaxyrus hemiophrys
dispdb,Bufo japonicus formosus,Bufo japonicus formosus,NA,SUBSPECIES,SYNONYM,NA,Chordata,Amphibia,Bufonidae,Bufo,Bufo japonicus
dispdb,Bufo marinus,Bufo marinus,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Bufonidae,Rhinella,Rhinella marina
dispdb,Bufo punctatus,Bufo punctatus,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Bufonidae,Anaxyrus,Anaxyrus punctatus
dispdb,Bufo terrestris,Bufo terrestris,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Bufonidae,Anaxyrus,Anaxyrus terrestris
dispdb,Bufo valliceps,Bufo valliceps,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Bufonidae,Incilius,Incilius valliceps
dispdb,Dendrobates pumilio,Dendrobates pumilio,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Dendrobatidae,Oophaga,Oophaga pumilio
dispdb,Eleutherodactylus fitzingeri,Eleutherodactylus fitzingeri,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Craugastoridae,Craugastor,Craugastor fitzingeri
dispdb,Hyla regilla,Hyla regilla,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Hylidae,Pseudacris,Pseudacris regilla
dispdb,Hyla versicolor,Hyla versicolor,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Hylidae,Dryophytes,Dryophytes versicolor
dispdb,Physaleemus  pustulosus,Physalaemus pustulosus,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Leptodactylidae,Engystomops,Engystomops pustulosus
dispdb,Rana aurora aurora,Rana aurora aurora,NA,SUBSPECIES,SYNONYM,NA,Chordata,Amphibia,Ranidae,Rana,Rana aurora
dispdb,Rana aurora draytonni,Rana aurora draytonii,NA,SUBSPECIES,SYNONYM,NA,Chordata,Amphibia,Ranidae,Rana,Rana draytonii
dispdb,Rana berlandieri,Rana berlandieri,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Ranidae,Lithobates,Lithobates berlandieri
dispdb,Rana catesbeiana,Rana catesbeiana,NA,SPECIES,HOMOTYPIC_SYNONYM,NA,Chordata,Amphibia,Ranidae,Lithobates,Lithobates catesbeianus
dispdb,Rana clamitans,Rana clamitans,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Ranidae,Lithobates,Lithobates clamitans
dispdb,Rana lessonae,Rana lessonae,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Ranidae,Pelophylax,Pelophylax lessonae
dispdb,Rana pipiens,Rana pipiens,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Ranidae,Lithobates,Lithobates pipiens
dispdb,Rana ridibunda,Rana ridibunda,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Ranidae,Pelophylax,Pelophylax ridibundus
dispdb,Rana sevosa,Rana sevosa,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Ranidae,Lithobates,Lithobates sevosus
dispdb,Rana sylvatica,Rana sylvatica,NA,SPECIES,SYNONYM,NA,Chordata,Amphibia,Ranidae,Lithobates,Lithobates sylvaticus
dispdb,Andropadus milanjensis,Andropadus milanjensis,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Pycnonotidae,Arizelocichla,Arizelocichla milanjensis
dispdb,Antigone rubicunda,Antigone rubicunda,NA,SPECIES,HOMOTYPIC_SYNONYM,NA,Chordata,Aves,Gruidae,Grus,Grus rubicunda
dispdb,Aplopelia larvata,Aplopelia larvata,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Columbidae,Columba,Columba larvata
dispdb,Caracara cheriway,Caracara cheriway,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Falconidae,Caracara,Caracara plancus
dispdb,Catharacta maccormicki,Catharacta maccormicki,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Stercorariidae,Stercorarius,Stercorarius maccormicki
dispdb,Certhiasomus stictolaemus,Certhiasomus stictolaemus,NA,SPECIES,HOMOTYPIC_SYNONYM,NA,Chordata,Aves,Furnariidae,Deconychura,Deconychura stictolaema
dispdb,Chthonicola sagittatus,Chthonicola sagittatus,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Acanthizidae,Pyrrholaemus,Pyrrholaemus sagittatus
dispdb,Erythropygia coryphaeus,Erythropygia coryphaeus,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Muscicapidae,Erythropygia,Erythropygia coryphoeus
dispdb,Francolinus pondicerianus,Francolinus pondicerianus,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Phasianidae,Ortygornis,Ortygornis pondicerianus
dispdb,Hypotaenidia sylvestris,Hypotaenidia sylvestris,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Rallidae,Gallirallus,Gallirallus sylvestris
dispdb,Larus hartlaubii,Larus hartlaubii,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Laridae,Chroicocephalus,Chroicocephalus hartlaubii
dispdb,Lichenostomus flavescens,Lichenostomus flavescens,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Meliphagidae,Ptilotula,Ptilotula flavescens
dispdb,Lichenostomus flavicollis,Lichenostomus flavicollis,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Meliphagidae,Nesoptilotis,Nesoptilotis flavicollis
dispdb,Lichenostomus fuscus,Lichenostomus fuscus,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Meliphagidae,Ptilotula,Ptilotula fusca
dispdb,Lichenostomus leucotis,Lichenostomus leucotis,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Meliphagidae,Nesoptilotis,Nesoptilotis leucotis
dispdb,Lichenostomus ornatus,Lichenostomus ornatus,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Meliphagidae,Ptilotula,Ptilotula ornata
dispdb,Lichenostomus plumulus,Lichenostomus plumulus,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Meliphagidae,Ptilotula,Ptilotula plumula
dispdb,Lichenostomus unicolor,Lichenostomus unicolor,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Meliphagidae,Stomiopera,Stomiopera unicolor
dispdb,Lichenostomus virescens,Lichenostomus virescens,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Meliphagidae,Gavicalis,Gavicalis virescens
dispdb,Nectarinia olivacea,Nectarinia olivacea,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Nectariniidae,Cyanomitra,Cyanomitra olivacea
dispdb,Oreomystis mana,Oreomystis mana,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Fringillidae,Loxops,Loxops mana
dispdb,Phylidonyris albifrons,Phylidonyris albifrons,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Meliphagidae,Purnella,Purnella albifrons
dispdb,Phylidonyris melanops,Phylidonyris melanops,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Meliphagidae,Gliciphila,Gliciphila melanops
dispdb,Pseudopipra pipra,Pseudopipra pipra,NA,SPECIES,HOMOTYPIC_SYNONYM,NA,Chordata,Aves,Pipridae,Pipra,Pipra pipra
dispdb,Serinus flaviventris,Serinus flaviventris,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Fringillidae,Crithagra,Crithagra flaviventris
dispdb,Serinus mozambicus,Serinus mozambicus,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Fringillidae,Crithagra,Crithagra mozambica
dispdb,Serinus sulphuratus,Serinus sulphuratus,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Fringillidae,Crithagra,Crithagra sulphurata
dispdb,Tribonyx mortierii,Tribonyx mortierii,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Rallidae,Gallinula,Gallinula mortierii
dispdb,Xanthomyza phrygia,Xanthomyza phrygia,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Meliphagidae,Anthochaera,Anthochaera phrygia
dispdb,Zapornia tabuensis,Zapornia tabuensis,NA,SPECIES,HOMOTYPIC_SYNONYM,NA,Chordata,Aves,Rallidae,Porzana,Porzana tabuensis
dispdb,Zoothera gurneyi,Zoothera gurneyi,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Turdidae,Geokichla,Geokichla gurneyi
dispdb,Parus cinctus,Parus cinctus,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Paridae,Poecile,Poecile cinctus
dispdb,Wilsonia canadensis,Wilsonia canadensis,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Parulidae,Cardellina,Cardellina canadensis
dispdb,Hydrobates castro,Hydrobates castro,NA,SPECIES,HOMOTYPIC_SYNONYM,NA,Chordata,Aves,Hydrobatidae,Oceanodroma,Oceanodroma castro
dispdb,Dendroica caerulescens,Dendroica caerulescens,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Parulidae,Setophaga,Setophaga caerulescens
dispdb,Dendroica petechia,Dendroica petechia,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Parulidae,Setophaga,Setophaga petechia
dispdb,Artamus leucorynchus,Artamus leucorhynchus,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Artamidae,Artamus,Artamus leucoryn
dispdb,Arses telescophthalmus,Arses telescophthalmus,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Monarchidae,Arses,Arses telescopthalmus
dispdb,Oporornis formosus,Oporornis formosus,NA,SPECIES,SYNONYM,NA,Chordata,Aves,Parulidae,Geothlypis,Geothlypis formosa
dispdb,Gelochelidon nilotica,Gelochelidon nilotica,2481263,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Laridae,Gelochelidon,Gelochelidon nilotica
dispdb,Sterna paradisaea,Sterna paradisaea,5229230,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Laridae,Sterna,Sterna paradisaea
dispdb,Plectrophenax nivalis,Plectrophenax nivalis,2491719,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Calcariidae,Plectrophenax,Plectrophenax nivalis
dispdb,Quiscalus quiscula,Quiscalus quiscula,2484155,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Icteridae,Quiscalus,Quiscalus quiscula
dispdb,Bombycilla garrulus,Bombycilla garrulus,2484605,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Bombycillidae,Bombycilla,Bombycilla garrulus
dispdb,Bombycilla cedrorum,Bombycilla cedrorum,2484609,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Bombycillidae,Bombycilla,Bombycilla cedrorum
dispdb,Anser caerulescens,Anser caerulescens,2498167,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Anatidae,Anser,Anser caerulescens
dispdb,Vermivora cyanoptera,Vermivora cyanoptera,6093846,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Parulidae,Vermivora,Vermivora cyanoptera
dispdb,Falco naumanni,Falco naumanni,9584698,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Falconidae,Falco,Falco naumanni
dispdb,Brachyramphus marmoratus,Brachyramphus marmoratus,5229281,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Alcidae,Brachyramphus,Brachyramphus marmoratus
dispdb,Sitta pygmaea,Sitta pygmaea,2484907,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Sittidae,Sitta,Sitta pygmaea
dispdb,Gavia stellata,Gavia stellata,2481958,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Gaviidae,Gavia,Gavia stellata
dispdb,Sula leucogaster,Sula leucogaster,2480975,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Sulidae,Sula,Sula leucogaster
dispdb,Sula dactylatra,Sula dactylatra,2480967,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Sulidae,Sula,Sula dactylatra
dispdb,Fregata ariel,Fregata ariel,2480186,SPECIES,ACCEPTED,EXACT,Chordata,Aves,Fregatidae,Fregata,Fregata ariel
